DateOfOfqualDataSnapshot,QualificationName,AwardingOrganisation,QualificationNumber,Level,QualificationType,Subcategory,SectorSubjectArea,Status,Age1416_FundingAvailable,Age1416_FundingApprovalStartDate,Age1416_FundingApprovalEndDate,Age1416_Notes,Age1619_FundingAvailable,Age1619_FundingApprovalStartDate,Age1619_FundingApprovalEndDate,Age1619_Notes,LocalFlexibilities_FundingAvailable,LocalFlexibilities_FundingApprovalStartDate,LocalFlexibilities_FundingApprovalEndDate,LocalFlexibilities_Notes,LegalEntitlementL2L3_FundingAvailable,LegalEntitlementL2L3_FundingApprovalStartDate,LegalEntitlementL2L3_FundingApprovalEndDate,LegalEntitlementL2L3_Notes,LegalEntitlementEnglishandMaths_FundingAvailable,LegalEntitlementEnglishandMaths_FundingApprovalStartDate,LegalEntitlementEnglishandMaths_FundingApprovalEndDate,LegalEntitlementEnglishandMaths_Notes,DigitalEntitlement_FundingAvailable,DigitalEntitlement_FundingApprovalStartDate,DigitalEntitlement_FundingApprovalEndDate,DigitalEntitlement_Notes,ESFLevel34_FundingAvailable,ESFLevel34_FundingApprovalStartDate,ESFLevel34_FundingApprovalEndDate,ESFLevel34_Notes,AdvancedLearnerLoans_FundingAvailable,AdvancedLearnerLoans_FundingApprovalStartDate,AdvancedLearnerLoans_FundingApprovalEndDate,AdvancedLearnerLoans_Notes,AwardingOrganisationURL,L3FreeCoursesForJobs_FundingAvailable,L3FreeCoursesForJobs_FundingApprovalStartDate,L3FreeCoursesForJobs_FundingApprovalEndDate,L3FreeCoursesForJobs_Notes
22/10/2024,AAT Level 1 Award in Bookkeeping ,Association of Accounting Technicians,61008187,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AAT Level 1 Award in Business Skills,Association of Accounting Technicians,61008199,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2022,31/07/2026,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Computerised Accounts,City and Guilds of London Institute,50042932,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 1 Award in Book-Keeping and Accounts,City and Guilds of London Institute,5004767X,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,08/09/2008,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Highfield Level 1 Award in Accounting (RQF),Highfield Qualifications,60313286,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/04/2017,31/07/2026,,True,26/04/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Highfield Level 1 Award in Computerised Payroll (RQF),Highfield Qualifications,60364245,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,28/08/2020,31/07/2026,,True,28/08/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB  Level 1 Award in Bookkeeping ,Institute of Accountants and Bookkeepers,60190656,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,True,01/07/2016,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,IAB Level 1 Award in Payroll for Business,Institute of Accountants and Bookkeepers,60330223,Level 1,Vocationally-Related Qualification,,Accounting and finance,Approved,False,,,,False,,,,True,04/03/2018,31/12/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 1 Award in Computerised Payroll for Business (RQF) ,VTCT,60155103,Level 1,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/02/2015,31/07/2025,,True,01/08/2016,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,VTCT (Skillsfirst) Level 1 Award in Computerised Accounting for Business (RQF),VTCT,60172885,Level 1,Occupational Qualification,,Accounting and finance,Approved,False,,,,True,01/09/2015,31/07/2025,,True,01/08/2016,31/07/2025,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
